datetime,close,volume
2021-01-01T00:00:00+0530,149.57,767502
2021-01-04T00:00:00+0530,150.71,1729074
2021-01-05T00:00:00+0530,151.3,2248517
2021-01-06T00:00:00+0530,151.22,1890161
2021-01-07T00:00:00+0530,151.2,1184831
2021-01-08T00:00:00+0530,152.88,1488219
2021-01-11T00:00:00+0530,154.38,1714620
2021-01-12T00:00:00+0530,155.32,1645477
2021-01-13T00:00:00+0530,155.6,1524163
2021-01-14T00:00:00+0530,155.76,1242536
2021-01-15T00:00:00+0530,154.11,2219346
2021-01-18T00:00:00+0530,152.56,2172716
2021-01-19T00:00:00+0530,155.45,1986752
2021-01-20T00:00:00+0530,156.75,1574034
2021-01-21T00:00:00+0530,156.02,1966764
2021-01-22T00:00:00+0530,153.91,2013987
2021-01-25T00:00:00+0530,152.46,1877148
2021-01-27T00:00:00+0530,149.48,3099586
2021-01-28T00:00:00+0530,147.99,3724096
2021-01-29T00:00:00+0530,146.1,4019948
2021-02-01T00:00:00+0530,152.52,5752457
2021-02-02T00:00:00+0530,156.1,5401586
2021-02-03T00:00:00+0530,157.66,3184291
2021-02-04T00:00:00+0530,158.69,2597296
2021-02-05T00:00:00+0530,159.05,2162707
2021-02-08T00:00:00+0530,161.03,3414992
2021-02-09T00:00:00+0530,161.23,2186027
2021-02-10T00:00:00+0530,161.46,2086456
2021-02-11T00:00:00+0530,162.06,1130555
2021-02-12T00:00:00+0530,162.17,1471633
2021-02-15T00:00:00+0530,163.93,1390282
2021-02-16T00:00:00+0530,163.54,2808707
2021-02-17T00:00:00+0530,162.59,1633793
2021-02-18T00:00:00+0530,161.89,1466832
2021-02-19T00:00:00+0530,160.42,1924382
2021-02-22T00:00:00+0530,157.18,4266735
2021-02-23T00:00:00+0530,157.59,3376578
2021-02-24T00:00:00+0530,160.15,1694856
2021-02-25T00:00:00+0530,161.87,2078898
2021-02-26T00:00:00+0530,156.15,6394687
2021-03-01T00:00:00+0530,158.01,2262115
2021-03-02T00:00:00+0530,159.57,1674905
2021-03-03T00:00:00+0530,162.98,2774589
2021-03-04T00:00:00+0530,161.2,1760533
2021-03-05T00:00:00+0530,159.66,2004187
2021-03-08T00:00:00+0530,160.04,1419094
2021-03-09T00:00:00+0530,161.47,1483026
2021-03-10T00:00:00+0530,162.16,1026447
2021-03-12T00:00:00+0530,160.63,2695163
2021-03-15T00:00:00+0530,159.96,2726411
2021-03-16T00:00:00+0530,159.79,1194883
2021-03-17T00:00:00+0530,157.88,2020012
2021-03-18T00:00:00+0530,156.12,2566012
2021-03-19T00:00:00+0530,157.87,2989141
2021-03-22T00:00:00+0530,157.33,2249076
2021-03-23T00:00:00+0530,158.35,2196154
2021-03-24T00:00:00+0530,156.09,2880134
2021-03-25T00:00:00+0530,153.86,4619262
2021-03-26T00:00:00+0530,155.21,3133917
2021-03-30T00:00:00+0530,158.42,3007515
2021-03-31T00:00:00+0530,157.16,1770531
2021-04-01T00:00:00+0530,158.7,1753952
2021-04-05T00:00:00+0530,156.96,3825031
2021-04-06T00:00:00+0530,157.39,1679649
2021-04-07T00:00:00+0530,158.82,1490166
