instrument_token,exchange_token,tradingsymbol
215681797,842507,BANKEX25SEPFUT
220537093,861473,BANKEX25OCTFUT
215645189,842364,SENSEX25SEPFUT
220514309,861384,SENSEX25OCTFUT
215835653,843108,SENSEX5025SEPFUT
220618501,861791,SENSEX5025OCTFUT
215550469,841994,BANKEX25SEP60700PE
215797765,842960,BANKEX25SEP60700CE
215561989,842039,BANKEX25SEP60600CE
215627525,842295,BANKEX25SEP60600PE
215581701,842116,BANKEX25SEP60800CE
215646213,842368,BANKEX25SEP60800PE
215531013,841918,BANKEX25SEP60500PE
215778309,842884,BANKEX25SEP60500CE
215571205,842075,BANKEX25SEP60900PE
215820037,843047,BANKEX25SEP60900CE
215540485,841955,BANKEX25SEP60400CE
215608325,842220,BANKEX25SEP60400PE
215682309,842509,BANKEX25SEP61000CE
215750149,842774,BANKEX25SEP61000PE
215618309,842259,BANKEX25SEP60300CE
215827973,843078,BANKEX25SEP60300PE
215673349,842474,BANKEX25SEP61100PE
215783685,842905,BANKEX25SEP61100CE
215588869,842144,BANKEX25SEP60200PE
215838981,843121,BANKEX25SEP60200CE
215703813,842593,BANKEX25SEP61200CE
215774213,842868,BANKEX25SEP61200PE
215599109,842184,BANKEX25SEP60100CE
215662597,842432,BANKEX25SEP60100PE
215629573,842303,BANKEX25SEP61300CE
215693573,842553,BANKEX25SEP61300PE
215569413,842068,BANKEX25SEP60000PE
215817733,843038,BANKEX25SEP60000CE
215722757,842667,BANKEX25SEP61400CE
215793413,842943,BANKEX25SEP61400PE
215713285,842630,BANKEX25SEP61500PE
216289797,844882,BANKEX25SEP72100PE
216433413,845443,BANKEX25SEP72100CE
216304901,844941,BANKEX25SEP72000CE
216390405,845275,BANKEX25SEP72000PE
216474117,845602,BANKEX25SEP71900CE
216561669,845944,BANKEX25SEP71900PE
216106501,844166,BANKEX25SEP71800PE
216166149,844399,BANKEX25SEP71800CE
216111621,844186,BANKEX25SEP71700CE
216148485,844330,BANKEX25SEP71700PE
216154373,844353,BANKEX25SEP71600CE
216190213,844493,BANKEX25SEP71600PE
216100357,844142,BANKEX25SEP71500CE
216139013,844293,BANKEX25SEP71500PE
216144645,844315,BANKEX25SEP71400CE
216181509,844459,BANKEX25SEP71400PE
216128517,844252,BANKEX25SEP71300PE
216186373,844478,BANKEX25SEP71300CE
215950853,843558,BANKEX25SEP71200CE
215996165,843735,BANKEX25SEP71200PE
215539973,841953,BANKEX25SEP71100PE
215785477,842912,BANKEX25SEP71100CE
215685381,842521,BANKEX25SEP71000CE
215755781,842796,BANKEX25SEP71000PE
215573253,842083,BANKEX25SEP70900PE
215823365,843060,BANKEX25SEP70900CE
215583749,842124,BANKEX25SEP70800CE
215648773,842378,BANKEX25SEP70800PE
215553029,842004,BANKEX25SEP70700PE
215801349,842974,BANKEX25SEP70700CE
215564293,842048,BANKEX25SEP70600CE
215630341,842306,BANKEX25SEP70600PE
215533061,841926,BANKEX25SEP70500PE
215639557,842342,BANKEX25SEP70500CE
215542789,841964,BANKEX25SEP70400CE
215610885,842230,BANKEX25SEP70400PE
215620357,842267,BANKEX25SEP70300CE
215684357,842517,BANKEX25SEP70300PE
215591429,842154,BANKEX25SEP70200PE
215841285,843130,BANKEX25SEP70200CE
215601925,842195,BANKEX25SEP70100CE
215666693,842448,BANKEX25SEP70100PE
215572229,842079,BANKEX25SEP70000PE
215674629,842479,BANKEX25SEP70000CE
215571717,842077,BANKEX25SEP69900CE
215636741,842331,BANKEX25SEP69900PE
215647493,842373,BANKEX25SEP69800CE
215711237,842622,BANKEX25SEP69800PE
215617541,842256,BANKEX25SEP69700PE
215721477,842662,BANKEX25SEP69700CE
215629061,842301,BANKEX25SEP69600CE
215691525,842545,BANKEX25SEP69600PE
215702533,842588,BANKEX25SEP69500CE
215771141,842856,BANKEX25SEP69500PE
215609861,842226,BANKEX25SEP69400CE
215671813,842468,BANKEX25SEP69400PE
215681541,842506,BANKEX25SEP69300CE
215748101,842766,BANKEX25SEP69300PE
215651589,842389,BANKEX25SEP69200PE
215761669,842819,BANKEX25SEP69200CE
215664133,842438,BANKEX25SEP69100CE
215727365,842685,BANKEX25SEP69100PE
215739653,842733,BANKEX25SEP69000CE
