datetime,close,volume
2025-06-02T09:15:00+0530,276.55,168935
2025-06-02T09:16:00+0530,276.31,46387
2025-06-02T09:17:00+0530,276.16,74282
2025-06-02T09:18:00+0530,276.17,121355
2025-06-02T09:19:00+0530,275.95,67183
2025-06-02T09:20:00+0530,275.85,58401
2025-06-02T09:21:00+0530,275.9,65160
2025-06-02T09:22:00+0530,276.0,83519
2025-06-02T09:23:00+0530,275.91,93766
2025-06-02T09:24:00+0530,275.88,26295
2025-06-02T09:25:00+0530,275.78,32874
2025-06-02T09:26:00+0530,275.82,20912
2025-06-02T09:27:00+0530,276.12,77002
2025-06-02T09:28:00+0530,275.99,33924
2025-06-02T09:29:00+0530,275.98,40925
2025-06-02T09:30:00+0530,276.13,106927
2025-06-02T09:31:00+0530,275.6,168377
2025-06-02T09:32:00+0530,275.72,42713
2025-06-02T09:33:00+0530,275.7,37716
2025-06-02T09:34:00+0530,275.79,31842
2025-06-02T09:35:00+0530,275.81,30057
2025-06-02T09:36:00+0530,275.84,85243
2025-06-02T09:37:00+0530,275.92,33853
2025-06-02T09:38:00+0530,275.91,82381
2025-06-02T09:39:00+0530,276.0,23714
2025-06-02T09:40:00+0530,276.09,38635
2025-06-02T09:41:00+0530,276.27,68678
2025-06-02T09:42:00+0530,276.28,30033
2025-06-02T09:43:00+0530,275.98,45119
2025-06-02T09:44:00+0530,276.11,15658
2025-06-02T09:45:00+0530,276.03,80995
2025-06-02T09:46:00+0530,276.15,75544
2025-06-02T09:47:00+0530,276.29,22237
2025-06-02T09:48:00+0530,276.36,35987
2025-06-02T09:49:00+0530,276.32,20837
2025-06-02T09:50:00+0530,276.32,24715
2025-06-02T09:51:00+0530,276.35,16458
2025-06-02T09:52:00+0530,276.36,26632
2025-06-02T09:53:00+0530,276.36,15434
2025-06-02T09:54:00+0530,276.32,18358
2025-06-02T09:55:00+0530,276.2,49426
2025-06-02T09:56:00+0530,276.21,15050
2025-06-02T09:57:00+0530,276.38,13309
2025-06-02T09:58:00+0530,276.32,29328
2025-06-02T09:59:00+0530,276.45,7770
2025-06-02T10:00:00+0530,276.51,78090
2025-06-02T10:01:00+0530,276.41,50110
