datetime,close,volume
2025-06-02T09:15:00+0530,91.8,41434
2025-06-02T09:16:00+0530,91.6,5599
2025-06-02T09:17:00+0530,91.44,8315
2025-06-02T09:18:00+0530,91.52,9050
2025-06-02T09:19:00+0530,91.49,4004
2025-06-02T09:20:00+0530,91.52,5931
2025-06-02T09:21:00+0530,91.56,14053
2025-06-02T09:22:00+0530,91.67,13050
2025-06-02T09:23:00+0530,91.63,7258
2025-06-02T09:24:00+0530,91.73,5555
2025-06-02T09:25:00+0530,91.58,5761
2025-06-02T09:26:00+0530,91.65,4729
2025-06-02T09:27:00+0530,91.63,19713
2025-06-02T09:28:00+0530,91.56,1098
2025-06-02T09:29:00+0530,91.5,844
2025-06-02T09:30:00+0530,91.56,4260
2025-06-02T09:31:00+0530,91.44,2222
2025-06-02T09:32:00+0530,91.46,2962
2025-06-02T09:33:00+0530,91.49,4137
2025-06-02T09:34:00+0530,91.47,3259
2025-06-02T09:35:00+0530,91.46,852
2025-06-02T09:36:00+0530,91.46,1183
2025-06-02T09:37:00+0530,91.5,4480
2025-06-02T09:38:00+0530,91.52,2729
2025-06-02T09:39:00+0530,91.6,2182
2025-06-02T09:40:00+0530,91.6,1776
2025-06-02T09:41:00+0530,91.62,2761
2025-06-02T09:42:00+0530,91.64,13519
2025-06-02T09:43:00+0530,91.62,104472
2025-06-02T09:44:00+0530,91.62,4543
2025-06-02T09:45:00+0530,91.64,3575
2025-06-02T09:46:00+0530,91.7,4786
2025-06-02T09:47:00+0530,91.73,5249
2025-06-02T09:48:00+0530,91.71,555
2025-06-02T09:49:00+0530,91.71,1439
2025-06-02T09:50:00+0530,91.65,2721
2025-06-02T09:51:00+0530,91.69,2268
2025-06-02T09:52:00+0530,91.7,316
2025-06-02T09:53:00+0530,91.68,3687
2025-06-02T09:54:00+0530,91.68,2162
2025-06-02T09:55:00+0530,91.66,3005
2025-06-02T09:56:00+0530,91.65,7277
2025-06-02T09:57:00+0530,91.64,1107
2025-06-02T09:58:00+0530,91.64,615
2025-06-02T09:59:00+0530,91.64,972
2025-06-02T10:00:00+0530,91.74,12242
2025-06-02T10:01:00+0530,91.74,1810
2025-06-02T10:02:00+0530,91.7,2443
2025-06-02T10:03:00+0530,91.7,2212
2025-06-02T10:04:00+0530,91.74,1710
2025-06-02T10:05:00+0530,91.73,1697
2025-06-02T10:06:00+0530,91.72,2782
2025-06-02T10:07:00+0530,91.7,1530
2025-06-02T10:08:00+0530,91.71,1044
2025-06-02T10:09:00+0530,91.8,17650
2025-06-02T10:10:00+0530,91.78,4551
2025-06-02T10:11:00+0530,91.8,542
2025-06-02T10:12:00+0530,91.79,280
2025-06-02T10:13:00+0530,91.72,10773
2025-06-02T10:14:00+0530,91.75,134
2025-06-02T10:15:00+0530,91.7,744
2025-06-02T10:16:00+0530,91.73,2490
2025-06-02T10:17:00+0530,91.6,6408
2025-06-02T10:18:00+0530,91.64,420
2025-06-02T10:19:00+0530,91.65,3969
2025-06-02T10:20:00+0530,91.58,380
2025-06-02T10:21:00+0530,91.55,3331
2025-06-02T10:22:00+0530,91.55,2956
2025-06-02T10:23:00+0530,91.49,3512
2025-06-02T10:24:00+0530,91.54,250
2025-06-02T10:25:00+0530,91.54,1564
2025-06-02T10:26:00+0530,91.57,1428
2025-06-02T10:27:00+0530,91.56,295
2025-06-02T10:28:00+0530,91.62,552
2025-06-02T10:29:00+0530,91.64,236
2025-06-02T10:30:00+0530,91.55,898
2025-06-02T10:31:00+0530,91.64,256
2025-06-02T10:32:00+0530,91.58,836
2025-06-02T10:33:00+0530,91.62,1113
2025-06-02T10:34:00+0530,91.61,640
2025-06-02T10:35:00+0530,91.6,858
2025-06-02T10:36:00+0530,91.61,277
2025-06-02T10:37:00+0530,91.61,2996
2025-06-02T10:38:00+0530,91.62,1135
2025-06-02T10:39:00+0530,91.7,1161
2025-06-02T10:40:00+0530,91.7,279
2025-06-02T10:41:00+0530,91.7,683
2025-06-02T10:42:00+0530,91.74,2556
2025-06-02T10:43:00+0530,91.71,10610
2025-06-02T10:44:00+0530,91.71,306
2025-06-02T10:45:00+0530,91.64,1679
2025-06-02T10:46:00+0530,91.67,347
2025-06-02T10:47:00+0530,91.75,641
2025-06-02T10:48:00+0530,91.75,802
